ticker,isin,mic,name
2020.OL,BMG9156K1018,XOSL,2020 BULKERS
5PG.OL,DK0060945467,XOAS,5TH PLANET GAMES
AASB.OL,NO0010672181,MERK,AASEN SPAREBANK
ABG.OL,NO0003021909,XOSL,ABG SUNDAL COLLIER
ABS.OL,NO0010859580,MERK,ARCTIC BIOSCIENCE
ABTEC.OL,NO0013735894,XOAS,AQUA BIO TECHNO
ACED.OL,NO0013531616,MERK,ACE DIGITAL
ACR.OL,NO0010840515,XOSL,AXACTOR
ADS.OL,CY0108052115,MERK,ADS MARITIME HOLD
AFG.OL,NO0003078107,XOSL,AF GRUPPEN
AFISH.OL,NO0010917719,MERK,ARCTIC FISH HOLDIN
AFK.OL,NO0003572802,XOSL,ARENDALS FOSSEKOMP
AGLX.OL,NO0010872468,XOSL,AGILYX
AIX.OL,NO0012861683,MERK,AYFIE INTERNATIONA
AKAST.OL,NO0010215684,XOSL,AKASTOR
AKBM.OL,NO0010886625,XOSL,AKER BIOMARINE
AKER.OL,NO0010234552,XOSL,AKER
AKOBO.OL,SE0015193412,MERK,AKOBO MINERALS
AKRBP.OL,NO0010345853,XOSL,AKER BP
AKSO.OL,NO0010716582,XOSL,AKER SOLUTIONS
AKVA.OL,NO0003097503,XOSL,AKVA GROUP
ALNG.OL,NO0010607971,XOAS,ALNG
ANDF.OL,NO0010829765,MERK,ANDFJORD SALMON GR
APR.OL,NO0013683821,XOSL,APPEAR
AQUA.OL,NO0010715394,XOSL,AQUALIS
ARCH.OL,BMG0451H2087,XOSL,ARCHER
ARR.OL,NO0013682948,XOSL,ARRIBATEC GROUP
ASA.OL,NO0013464750,XOSL,ATLANTIC SAPPHIRE
ATEA.OL,NO0004822503,XOSL,ATEA
AURG.OL,NO0006001601,XOSL,AURSKOG SPAREBANK
AUSS.OL,NO0010073489,XOSL,AUSTEVOLL SEAFOOD
AUTO.OL,BMG0670A1099,XOSL,AUTOSTORE HOLDINGS
AZT.OL,NO0010014632,XOSL,ARCTICZYMES TECHNO
B2I.OL,NO0010633951,XOSL,B2 Impact
BAKKA.OL,FO0000000179,XOSL,BAKKAFROST
BALT.OL,NO0010810476,MERK,BALTIC SEA PROP
BARRA.OL,SGXZ33675836,MERK,BARRAMUNDI GROUP
BCS.OL,NO0010950249,MERK,BERGEN CARBON SOL
BEWI.OL,NO0010890965,XOSL,BEWI
BIEN.OL,NO0012706763,XOSL,BIEN SPAREBANK
BINT.OL,NO0013711721,XOSL,BEVEST
BMA.OL,NO0003087603,MERK,BYGGMA
BNOR.OL,NO0010379266,XOSL,BLUENORD
BOHUS.OL,NO0013753343,XOSL,BOHUS
BONHR.OL,NO0003110603,XOSL,BONHEUR
BOR.OL,NO0013256180,XOSL,BORGESTAD
BORR.OL,BMG1466R1732,XOSL,BORR DRILLING
BOUV.OL,NO0010360266,XOSL,BOUVET
BRG.OL,NO0010657505,XOSL,BORREGAARD
BRUT.OL,NO0013036814,MERK,BRUTON
BSP.OL,NO0013685750,MERK,BLACK SEA PROPERTY
BWE.OL,BMG0702P1086,XOSL,BW ENERGY LIMITED
BWLPG.OL,SGXZ69436764,XOSL,BW LPG
BWO.OL,BMG1738J1247,XOSL,BW OFFSHORE LTD
CADLR.OL,DK0061412772,XOSL,CADELER
CAMBI.OL,NO0010078850,MERK,CAMBI
CAPSL.OL,NO0010923121,XOSL,CAPSOL TECHNOLOGI
CAPT.OL,MHY1096C1093,MERK,CAPITAL TANKERS
CAVEN.OL,NO0013219535,XOSL,CAVENDISH HYDROGEN
CLOUD.OL,NO0010876642,XOSL,CLOUDBERRY CLEAN
CMBTO.OL,BE0003816338,XOSL,CMB.TECH
CODE.OL,NO0013483503,MERK,CODELAB CAPITAL
CONTX.OL,SE0014731154,XOSL,CONTEXTVISION
COSH.OL,NO0013597419,XOSL,CONSTELLATION OIL
CRNA.OL,NO0013033795,XOSL,CIRCIO HOLDING
CYVIZ.OL,NO0010015175,MERK,CYVIZ
DDRIL.OL,NO0013711739,MERK,DOLPHIN DRILLING
DELIA.OL,NO0013755728,XOSL,DELLIA GROUP
DFENS.OL,NO0013647693,XOSL,FJORD DEFENCE GR
DNB.OL,NO0010161896,XOSL,DNB BANK
DNO.OL,NO0003921009,XOSL,DNO
DOFG.OL,NO0012851874,XOSL,DOF GROUP
DSRT.OL,NO0010963275,MERK,DESERT CONTROL
DVD.OL,NO0010955917,MERK,DEEP VALUE DRILLER
EAM.OL,NO0013601245,MERK,EAM SOLAR
EIOF.OL,NO0010263023,XOSL,EIDESVIK OFFSHORE
ELABS.OL,NO0010722283,XOSL,ELLIPTIC LABORATOR
ELK.OL,NO0010816093,XOSL,ELKEM
ELMRA.OL,NO0010815673,XOSL,ELMERA GROUP
ELO.OL,NO0011002586,XOSL,ELOPAK
ENDUR.OL,NO0012555459,XOSL,ENDÚR
ENERG.OL,NO0013698431,MERK,ENERGEIA
ENH.OL,CY0101162119,XOSL,SED ENERGY HOLDING
ENSU.OL,NO0013186460,XOSL,ENSURGE MICROPOWER
ENTRA.OL,NO0010716418,XOSL,ENTRA
