ticker,note
A.OL,insufficient_data_or_columns (0)
AKA.OL,insufficient_data_or_columns (0)
AKERBP.OL,insufficient_data_or_columns (0)
AQUA.OL,insufficient_data_or_columns (0)
ARCHER.OL,insufficient_data_or_columns (0)
ARCUS.OL,insufficient_data_or_columns (0)
ASETEK.OL,insufficient_data_or_columns (0)
ATLA-NOK.OL,insufficient_data_or_columns (0)
AVANCE.OL,insufficient_data_or_columns (0)
AWDR.OL,insufficient_data_or_columns (0)
B.OL,insufficient_data_or_columns (0)
BEL.OL,insufficient_data_or_columns (0)
BDRILL.OL,insufficient_data_or_columns (0)
BIOTEC.OL,insufficient_data_or_columns (0)
BON.OL,insufficient_data_or_columns (0)
BOUVET.OL,insufficient_data_or_columns (0)
C.OL,insufficient_data_or_columns (0)
CARA.OL,insufficient_data_or_columns (0)
COV.OL,insufficient_data_or_columns (0)
CRAYON.OL,insufficient_data_or_columns (0)
D.OL,insufficient_data_or_columns (0)
DAT.OL,insufficient_data_or_columns (0)
DOF.OL,insufficient_data_or_columns (0)
GROUP.OL,insufficient_data_or_columns (0)
E.OL,insufficient_data_or_columns (0)
EVRY.OL,insufficient_data_or_columns (0)
F.OL,insufficient_data_or_columns (0)
FKRAFT.OL,insufficient_data_or_columns (0)
FUNCOM.OL,insufficient_data_or_columns (0)
G.OL,insufficient_data_or_columns (0)
GIG.OL,insufficient_data_or_columns (0)
H.OL,insufficient_data_or_columns (0)
HYARD.OL,insufficient_data_or_columns (0)
I.OL,insufficient_data_or_columns (0)
INC.OL,insufficient_data_or_columns (0)
INFRNT.OL,insufficient_data_or_columns (0)
ITE.OL,insufficient_data_or_columns (0)
J.OL,insufficient_data_or_columns (0)
JAEREN.OL,insufficient_data_or_columns (0)
K.OL,insufficient_data_or_columns (0)
KVAER.OL,insufficient_data_or_columns (0)
L.OL,insufficient_data_or_columns (0)
M.OL,insufficient_data_or_columns (0)
MSEIS.OL,insufficient_data_or_columns (0)
N.OL,insufficient_data_or_columns (0)
NANO.OL,insufficient_data_or_columns (0)
NODL.OL,insufficient_data_or_columns (0)
NOFI.OL,insufficient_data_or_columns (0)
NOR.OL,insufficient_data_or_columns (0)
NPRO.OL,insufficient_data_or_columns (0)
NRS.OL,insufficient_data_or_columns (0)
NTS.OL,insufficient_data_or_columns (0)
O.OL,insufficient_data_or_columns (0)
OCY.OL,insufficient_data_or_columns (0)
OTS.OL,insufficient_data_or_columns (0)
P.OL,insufficient_data_or_columns (0)
PGS.OL,insufficient_data_or_columns (0)
PLCS.OL,insufficient_data_or_columns (0)
PROTCT.OL,insufficient_data_or_columns (0)
Q.OL,insufficient_data_or_columns (0)
QFR.OL,insufficient_data_or_columns (0)
R.OL,insufficient_data_or_columns (0)
RAKP.OL,insufficient_data_or_columns (0)
REC.OL,insufficient_data_or_columns (0)
RISH.OL,insufficient_data_or_columns (0)
ROGALAND.OL,insufficient_data_or_columns (0)
SB.OL,insufficient_data_or_columns (0)
S.OL,insufficient_data_or_columns (0)
SADG.OL,insufficient_data_or_columns (0)
SALMON.OL,insufficient_data_or_columns (0)
SBANK.OL,insufficient_data_or_columns (0)
SBLK.OL,insufficient_data_or_columns (0)
SBVG.OL,insufficient_data_or_columns (0)
SCHA.OL,insufficient_data_or_columns (0)
SCHB.OL,insufficient_data_or_columns (0)
SDRL.OL,insufficient_data_or_columns (0)
SOLON.OL,insufficient_data_or_columns (0)
SOR.OL,insufficient_data_or_columns (0)
SSSC.OL,insufficient_data_or_columns (0)
SCOTTISH.OL,insufficient_data_or_columns (0)
CO.OL,insufficient_data_or_columns (0)
SRBANK.OL,insufficient_data_or_columns (0)
SSC.OL,insufficient_data_or_columns (0)
STORM.OL,insufficient_data_or_columns (0)
STRONG.OL,insufficient_data_or_columns (0)
T.OL,insufficient_data_or_columns (0)
TEAM.OL,insufficient_data_or_columns (0)
THIN.OL,insufficient_data_or_columns (0)
TOTG.OL,insufficient_data_or_columns (0)
TRVX.OL,insufficient_data_or_columns (0)
V.OL,insufficient_data_or_columns (0)
VISTIN.OL,insufficient_data_or_columns (0)
VOLUE.OL,insufficient_data_or_columns (0)
VVS.OL,insufficient_data_or_columns (0)
W.OL,insufficient_data_or_columns (0)
WILS.OL,insufficient_data_or_columns (0)
X.OL,insufficient_data_or_columns (0)
Y.OL,insufficient_data_or_columns (0)
Z.OL,insufficient_data_or_columns (0)
