# oslo-screener report=latest.csv schema=oslo_screener.health.v1 snapshot_id=553dd909723b41b5ade1eb0d07f40ea3 data_fetch_started=2026-09-09T06:49:56Z data_fetch_completed=2026-09-09T06:50:25Z generated_at=2026-09-09T06:50:25Z expected_session=2026-09-08 universe_count=202 min_coverage_ratio=0.9 status=blocked market_data_as_of=2026-09-07
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
2020.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
ABG.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
ACR.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AFG.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AFK.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AGLX.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AKAST.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AKBM.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AKER.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
AKRBP.OL,2026-09-08,2026-09-08,2026-09-04,invalid,"error: ValueError: missing_or_invalid_required_session_ohlc:Close,High,Low",,,,,,,,,,WITHHELD,0.0,,0.0,,553dd909723b41b5ade1eb0d07f40ea3
