ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
BGBIO.OL,2025-11-19,0.542,23.48,4.85,-0.0374,1.0613,-48.93,39.8,23.51,22.55,BUY,2.0,5.0,3.0,HIGH,
AUSS.OL,2025-11-19,85.9,27.45,2.76,-0.6736,94.656,-9.25,43.09,39.63,21.72,BUY,2.0,5.0,3.0,HIGH,
HEX.OL,2025-11-19,6.96,30.36,8.73,0.0054,10.259,-32.16,57.05,30.35,41.64,BUY,3.0,5.0,5.0,HIGH,
NRC.OL,2025-11-19,6.7,31.71,1.54,-0.0434,8.1428,-17.72,40.68,22.55,25.5,BUY,2.0,5.0,3.0,HIGH,
NOD.OL,2025-11-19,131.1,32.47,4.97,-1.0254,153.432,-14.55,31.45,26.25,31.8,BUY,2.0,5.0,3.0,HIGH,
EPR.OL,2025-11-19,85.1,33.9,3.95,-0.0191,95.946,-11.3,31.07,25.97,37.04,BUY,2.0,5.0,3.0,HIGH,
EMGS.OL,2025-11-19,0.258,17.41,-0.05,-0.0332,1.0359,-75.09,54.07,18.62,16.08,BUY-watch,1.0,5.0,1.5,HIGH,
TEL.OL,2025-11-19,141.5,20.25,-1.81,-0.6799,157.6787,-10.26,35.89,11.81,10.35,BUY-watch,1.0,5.0,1.5,HIGH,
VENDB.OL,2025-11-19,288.8,24.21,-0.98,-3.3947,335.748,-13.98,29.43,24.28,14.68,BUY-watch,1.0,3.0,1.5,MODERATE,
WSTEP.OL,2025-11-19,17.7,27.45,-0.74,-0.1075,20.57,-13.95,42.2,4.36,31.62,BUY-watch,1.0,5.0,1.5,HIGH,
MULTI.OL,2025-11-19,157.5,28.01,0.0,-0.5435,171.27,-8.04,28.16,67.37,21.66,BUY-watch,1.0,3.0,1.5,MODERATE,
KOG.OL,2025-11-19,236.4,28.72,-2.77,-0.2296,289.4876,-18.34,43.86,42.62,25.05,BUY-watch,1.0,5.0,1.5,HIGH,
INIFY.OL,2025-11-19,3.6,31.74,0.0,-0.2041,5.4408,-33.83,30.05,24.1,22.67,BUY-watch,1.0,5.0,1.5,HIGH,
REACH.OL,2025-11-19,6.3,32.9,0.0,-0.0282,6.9496,-9.35,23.3,30.51,21.63,BUY-watch,1.0,3.0,1.5,MODERATE,
NORCO.OL,2025-11-19,44.1,34.18,-0.68,-0.3155,47.399,-6.96,20.09,46.76,26.14,BUY-watch,1.0,3.0,1.5,MODERATE,
SATS.OL,2025-11-19,35.25,34.66,-1.96,-0.156,38.256,-7.86,19.46,50.4,22.76,BUY-watch,1.0,1.75,1.5,LOW,
PEN.OL,2025-11-19,20.15,34.9,-0.82,-0.0633,22.116,-8.89,15.19,21.36,27.33,BUY-watch,1.0,1.75,1.5,LOW,
PLT.OL,2025-11-19,8.13,65.47,0.1,0.0212,6.0549,34.27,41.36,71.84,63.1,SELL-watch,1.0,5.0,1.5,HIGH,
WAWI.OL,2025-11-19,89.7,66.85,6.33,1.1466,85.06,5.45,26.04,86.77,79.11,SELL-watch,1.0,3.0,1.5,MODERATE,
ABG.OL,2025-11-19,7.46,67.15,2.29,0.0366,7.0368,6.01,30.81,66.85,68.48,SELL-watch,1.0,5.0,1.5,HIGH,
OLT.OL,2025-11-19,333.0,84.29,0.25,7.219,277.4,20.04,42.39,91.59,90.55,SELL-watch,1.0,5.0,1.5,HIGH,
ENTRA.OL,2025-11-19,110.0,35.69,0.0,0.0453,115.9703,-5.15,20.54,48.53,35.29,NEUTRAL,0.0,3.0,0.0,MODERATE,
SOFF.OL,2025-11-19,42.7,36.47,-1.88,0.273,48.59,-12.12,31.14,62.57,33.66,NEUTRAL,0.0,5.0,0.0,HIGH,
LSG.OL,2025-11-19,45.68,36.61,7.79,-0.1476,49.2262,-7.2,36.12,30.79,40.48,NEUTRAL,0.0,5.0,0.0,HIGH,
ZAL.OL,2025-11-19,84.0,38.61,0.95,-0.9754,85.116,-1.31,25.11,11.14,25.02,NEUTRAL,0.0,3.0,0.0,MODERATE,
PARB.OL,2025-11-19,83.4,38.7,2.43,-0.0348,88.672,-5.95,23.93,60.06,41.01,NEUTRAL,0.0,3.0,0.0,MODERATE,
PCIB.OL,2025-11-19,0.263,38.76,-5.62,0.0041,0.3234,-18.67,7.83,33.23,35.17,NEUTRAL,0.0,1.75,0.0,LOW,
HSPG.OL,2025-11-19,151.88,39.4,0.0,0.0291,163.5236,-7.12,56.4,0.34,41.99,NEUTRAL,0.0,5.0,0.0,HIGH,
HYPRO.OL,2025-11-19,2.71,39.42,1.98,-0.0288,3.2414,-16.39,13.2,28.28,33.84,NEUTRAL,0.0,1.75,0.0,LOW,
PSE.OL,2025-11-19,4.38,39.42,-0.51,-0.0453,4.7942,-8.64,33.49,34.38,25.77,NEUTRAL,0.0,5.0,0.0,HIGH,
BWO.OL,2025-11-19,34.3,39.61,-12.28,-0.0477,36.075,-4.92,14.24,47.38,31.15,NEUTRAL,0.0,1.75,0.0,LOW,
ACR.OL,2025-11-19,6.82,40.15,4.88,-0.0004,7.3576,-7.31,13.55,41.45,40.41,NEUTRAL,0.0,1.75,0.0,LOW,
KID.OL,2025-11-19,131.4,40.15,1.18,0.1363,139.6032,-5.88,36.21,61.37,40.2,NEUTRAL,0.0,5.0,0.0,HIGH,
MOBA.OL,2025-11-19,13.0,40.16,-2.4,-0.0511,13.891,-6.41,15.1,36.45,31.32,NEUTRAL,0.0,1.75,0.0,LOW,
MING.OL,2025-11-19,183.62,40.3,2.88,-0.4052,190.0108,-3.36,31.91,33.59,37.26,NEUTRAL,0.0,5.0,0.0,HIGH,
AKVA.OL,2025-11-19,88.2,40.35,-4.46,-0.2367,92.7389,-4.89,39.84,36.72,33.69,NEUTRAL,0.0,5.0,0.0,HIGH,
VAR.OL,2025-11-19,31.8,40.37,-10.67,-0.0554,32.5716,-2.37,18.02,57.01,24.23,NEUTRAL,0.0,1.75,0.0,LOW,
NAPA.OL,2025-11-19,25.6,40.49,1.65,-0.5729,27.787,-7.87,26.39,38.3,32.91,NEUTRAL,0.0,3.0,0.0,MODERATE,
SPOL.OL,2025-11-19,175.9,40.59,1.2,0.1079,183.3068,-4.04,27.74,51.48,41.68,NEUTRAL,0.0,3.0,0.0,MODERATE,
BAKKA.OL,2025-11-19,461.0,40.61,4.43,-4.3075,477.64,-3.48,20.45,52.14,30.88,NEUTRAL,0.0,3.0,0.0,MODERATE,
B2I.OL,2025-11-19,16.46,41.46,1.97,-0.0733,17.0088,-3.23,14.71,38.86,32.76,NEUTRAL,0.0,1.75,0.0,LOW,
ROGS.OL,2025-11-19,135.8,41.51,3.86,-0.1375,139.7444,-2.82,23.1,85.71,43.5,NEUTRAL,0.0,3.0,0.0,MODERATE,
EQNR.OL,2025-11-19,236.0,41.59,-6.22,-0.4263,243.2656,-2.99,9.51,40.48,32.31,NEUTRAL,0.0,1.75,0.0,LOW,
TOM.OL,2025-11-19,121.0,41.66,9.6,0.6268,136.258,-11.2,34.78,31.2,48.39,NEUTRAL,0.0,5.0,0.0,HIGH,
KIT.OL,2025-11-19,65.0,41.87,-0.55,-1.2075,64.411,0.91,26.88,23.25,18.75,NEUTRAL,0.0,3.0,0.0,MODERATE,
IOX.OL,2025-11-19,1.16,42.08,-5.59,-0.0027,1.303,-10.98,17.46,49.68,40.57,NEUTRAL,0.0,1.75,0.0,LOW,
SCATC.OL,2025-11-19,100.5,42.53,2.75,-0.4392,102.756,-2.2,16.31,44.08,40.09,NEUTRAL,0.0,1.75,0.0,LOW,
JIN.OL,2025-11-19,5.72,42.58,-0.69,-0.0045,6.0144,-4.89,12.04,34.69,35.93,NEUTRAL,0.0,1.75,0.0,LOW,
BMA.OL,2025-11-19,13.8,43.03,1.22,0.0293,14.916,-7.48,16.67,67.84,41.8,NEUTRAL,0.0,1.75,0.0,LOW,
AMSC.OL,2025-11-19,1.476,43.67,-0.0,0.0005,1.4814,-0.36,15.61,,41.3,NEUTRAL,0.0,1.75,0.0,LOW,
QEC.OL,2025-11-19,2.205,43.69,8.8,-0.0016,2.3558,-6.4,11.0,57.67,46.86,NEUTRAL,0.0,1.75,0.0,LOW,
SPIR.OL,2025-11-19,6.54,43.73,1.78,0.0236,7.048,-7.21,30.37,40.55,52.28,NEUTRAL,0.0,5.0,0.0,HIGH,
GJF.OL,2025-11-19,274.2,44.18,2.76,0.129,280.584,-2.28,25.85,37.26,41.71,NEUTRAL,0.0,3.0,0.0,MODERATE,
ININ.OL,2025-11-19,2.6,44.21,-23.21,-0.031,2.4468,6.26,38.9,53.18,22.2,NEUTRAL,0.0,5.0,0.0,HIGH,
BRG.OL,2025-11-19,185.0,44.22,9.48,-0.1234,192.0,-3.65,18.39,52.64,46.5,NEUTRAL,0.0,1.75,0.0,LOW,
SBO.OL,2025-11-19,33.0,44.23,-7.92,0.0973,34.305,-3.8,21.55,34.56,45.93,NEUTRAL,0.0,3.0,0.0,MODERATE,
YAR.OL,2025-11-19,363.3,44.23,-0.82,-0.3016,370.494,-1.94,11.38,39.94,38.06,NEUTRAL,0.0,1.75,0.0,LOW,
BOR.OL,2025-11-19,17.45,45.32,-1.45,-0.0435,17.749,-1.68,17.75,52.54,36.96,NEUTRAL,0.0,1.75,0.0,LOW,
SPOG.OL,2025-11-19,70.96,45.47,5.76,-0.0114,72.519,-2.15,22.36,27.94,49.55,NEUTRAL,0.0,3.0,0.0,MODERATE,
DNB.OL,2025-11-19,261.4,45.58,1.31,0.2237,266.53,-1.92,17.5,49.52,42.66,NEUTRAL,0.0,1.75,0.0,LOW,
SUBC.OL,2025-11-19,186.2,45.58,0.22,0.6543,192.131,-3.09,16.35,46.93,44.2,NEUTRAL,0.0,1.75,0.0,LOW,
EIOF.OL,2025-11-19,12.5,45.93,-2.1,0.0228,12.866,-2.84,17.02,70.35,43.28,NEUTRAL,0.0,1.75,0.0,LOW,
PRS.OL,2025-11-19,3.18,46.12,-1.11,0.0141,3.3437,-4.9,21.59,67.68,42.39,NEUTRAL,0.0,3.0,0.0,MODERATE,
VOW.OL,2025-11-19,1.62,46.54,12.11,0.0094,1.8547,-12.66,16.23,58.01,54.49,NEUTRAL,0.0,1.75,0.0,LOW,
MOWI.OL,2025-11-19,219.6,46.56,5.97,-0.9454,219.4247,0.08,22.17,23.11,41.66,NEUTRAL,0.0,3.0,0.0,MODERATE,
BWLPG.OL,2025-11-19,131.7,46.67,-0.78,0.2467,137.84,-4.45,17.67,47.32,45.24,NEUTRAL,0.0,1.75,0.0,LOW,
STB.OL,2025-11-19,156.3,46.78,1.34,-0.4053,155.638,0.43,14.68,69.65,36.71,NEUTRAL,0.0,1.75,0.0,LOW,
HAUTO.OL,2025-11-19,89.7,47.08,8.49,0.5396,97.1708,-7.69,32.11,41.55,63.29,NEUTRAL,0.0,5.0,0.0,HIGH,
SALM.OL,2025-11-19,569.5,47.12,4.01,-2.6944,571.29,-0.31,22.24,49.04,42.74,NEUTRAL,0.0,3.0,0.0,MODERATE,
MEDI.OL,2025-11-19,245.0,47.37,-3.73,-2.2933,245.2,-0.08,16.05,68.07,45.13,NEUTRAL,0.0,1.75,0.0,LOW,
TRE.OL,2025-11-19,34.0,47.64,0.0,0.0853,35.294,-3.67,19.81,44.42,44.27,NEUTRAL,0.0,1.75,0.0,LOW,
NONG.OL,2025-11-19,138.38,47.96,3.06,0.0516,139.5064,-0.81,13.47,36.55,48.54,NEUTRAL,0.0,1.75,0.0,LOW,
ATEA.OL,2025-11-19,144.6,48.32,3.65,-0.6558,143.0214,1.1,16.57,32.16,41.55,NEUTRAL,0.0,1.75,0.0,LOW,
NAS.OL,2025-11-19,15.47,49.08,8.26,0.0131,15.7768,-1.94,11.34,46.99,54.21,NEUTRAL,0.0,1.75,0.0,LOW,
MORG.OL,2025-11-19,102.32,49.29,9.16,0.1488,104.6192,-2.2,11.52,22.33,59.69,NEUTRAL,0.0,1.75,0.0,LOW,
TIETO.OL,2025-11-19,204.6,49.44,-3.62,-1.7395,194.3342,5.28,33.0,30.65,29.12,NEUTRAL,0.0,5.0,0.0,HIGH,
POL.OL,2025-11-19,51.5,49.59,1.81,0.2127,53.01,-2.85,31.18,41.41,52.13,NEUTRAL,0.0,5.0,0.0,HIGH,
VENDA.OL,2025-10-27,358.0,50.75,5.92,1.4362,370.772,-3.44,16.19,54.26,65.64,NEUTRAL,0.0,1.75,0.0,LOW,
AFK.OL,2025-11-19,133.0,50.98,-2.97,0.111,132.21,0.6,10.82,76.4,50.03,NEUTRAL,0.0,1.75,0.0,LOW,
RING.OL,2025-11-19,384.9,51.12,3.2,0.4311,387.267,-0.61,33.2,34.61,56.66,NEUTRAL,0.0,5.0,0.0,HIGH,
HAVI.OL,2025-11-19,1.245,51.47,7.13,0.0072,1.2762,-2.44,26.32,53.25,59.69,NEUTRAL,0.0,3.0,0.0,MODERATE,
IDEX.OL,2025-11-19,3.0,52.14,2.21,0.0124,2.9652,1.17,22.49,62.52,55.45,NEUTRAL,0.0,3.0,0.0,MODERATE,
ENH.OL,2025-11-19,8.06,52.21,2.09,0.0217,8.0831,-0.29,14.19,44.49,57.55,NEUTRAL,0.0,1.75,0.0,LOW,
GENT.OL,2025-11-19,56.0,52.22,4.05,-0.0097,55.188,1.47,18.24,28.37,54.84,NEUTRAL,0.0,1.75,0.0,LOW,
ORK.OL,2025-11-19,105.0,52.43,2.66,0.3798,104.822,0.17,26.09,47.81,55.91,NEUTRAL,0.0,3.0,0.0,MODERATE,
PYRUM.OL,2025-11-19,332.0,52.69,-0.76,1.3112,329.66,0.71,28.29,63.77,53.85,NEUTRAL,0.0,3.0,0.0,MODERATE,
GSF.OL,2025-11-19,69.25,52.73,6.78,0.1534,68.968,0.41,18.35,41.29,58.76,NEUTRAL,0.0,1.75,0.0,LOW,
ELK.OL,2025-11-19,26.68,52.84,-1.73,0.0684,26.5152,0.62,16.36,47.68,60.78,NEUTRAL,0.0,1.75,0.0,LOW,
HELG.OL,2025-11-19,176.9,53.3,0.0,0.8461,175.268,0.93,10.13,38.53,60.26,NEUTRAL,0.0,1.75,0.0,LOW,
