ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
SPIR.OL,2025-11-28,8.44,77.11,-0.49,0.2175,6.924,21.89,33.03,92.9,87.96,SELL,2,5.0,3.0,HIGH
EMGS.OL,2025-11-28,0.277,23.23,-0.09,0.0248,0.8795,-68.5,61.88,49.39,34.32,BUY-watch,2,5.0,3.0,HIGH
VENDB.OL,2025-11-28,281.0,31.17,-1.38,-1.1177,324.004,-13.27,36.66,30.14,32.38,BUY-watch,1,5.0,1.5,HIGH
REACH.OL,2025-11-28,6.04,31.68,-1.15,-0.047,6.8932,-12.38,24.38,24.63,28.26,BUY-watch,1,3.0,1.5,MODERATE
ZAL.OL,2025-11-28,92.4,65.63,7.61,0.4663,86.572,6.73,22.55,72.19,78.95,SELL-watch,1,3.0,1.5,MODERATE
KOA.OL,2025-11-28,1.836,65.77,5.38,0.0076,1.6866,8.86,25.04,68.47,78.02,SELL-watch,1,3.0,1.5,MODERATE
WAWI.OL,2025-11-28,91.15,66.02,1.19,0.5754,84.582,7.77,27.7,68.34,72.64,SELL-watch,1,3.0,1.5,MODERATE
NAS.OL,2025-11-28,17.3,66.41,2.22,0.2445,15.8147,9.39,21.12,70.29,73.64,SELL-watch,1,3.0,1.5,MODERATE
ACR.OL,2025-11-28,7.68,66.65,12.41,0.0914,7.242,6.05,17.13,87.7,85.2,SELL-watch,1,1.75,1.5,LOW
PHO.OL,2025-11-28,63.0,66.81,3.23,0.4002,56.994,10.54,31.9,63.71,76.22,SELL-watch,1,5.0,1.5,HIGH
MOWI.OL,2025-11-28,229.6,66.89,7.77,0.5797,220.3602,4.19,20.99,62.83,82.99,SELL-watch,1,3.0,1.5,MODERATE
WWI.OL,2025-11-28,549.0,67.02,1.69,3.3047,513.58,6.9,22.16,72.61,74.55,SELL-watch,1,3.0,1.5,MODERATE
VEI.OL,2025-11-28,169.0,67.06,0.0,0.6082,160.02,5.61,31.28,78.05,72.72,SELL-watch,1,5.0,1.5,HIGH
ENH.OL,2025-11-28,8.8,70.07,1.43,0.0928,8.0881,8.8,18.84,67.21,83.65,SELL-watch,1,1.75,1.5,LOW
VOW.OL,2025-11-28,2.07,70.3,18.83,0.0474,1.7852,15.96,15.55,87.21,86.92,SELL-watch,1,1.75,1.5,LOW
HSHP.OL,2025-11-28,93.0,74.74,0.0,1.2793,82.3844,12.89,26.16,86.26,89.25,SELL-watch,1,3.0,1.5,MODERATE
ABG.OL,2025-11-28,8.11,77.73,1.15,0.0727,7.1764,13.01,45.54,86.97,81.91,SELL-watch,1,5.0,1.5,HIGH
GYL.OL,2025-11-28,458.0,79.9,0.0,4.973,424.56,7.88,20.67,100.0,97.33,SELL-watch,1,3.0,1.5,MODERATE
MELG.OL,2025-11-28,192.0,81.88,0.0,1.44,174.5284,10.01,28.47,59.29,92.93,SELL-watch,1,3.0,1.5,MODERATE
OLT.OL,2025-11-28,334.0,82.17,0.88,0.8818,285.74,16.89,54.46,91.44,83.94,SELL-watch,1,5.0,1.5,HIGH
HUNT.OL,2025-11-28,2.05,85.96,2.35,0.0596,1.2693,61.51,47.51,93.91,93.65,SELL-watch,1,5.0,1.5,HIGH
KIT.OL,2025-11-28,60.3,36.73,4.02,-1.2025,64.24,-6.13,28.56,33.38,33.64,NEUTRAL,0,3.0,0.0,MODERATE
VVL.OL,2025-11-28,370.0,36.74,-9.59,-1.0144,378.88,-2.34,17.99,66.18,18.52,NEUTRAL,0,1.75,0.0,LOW
PEN.OL,2025-11-28,19.04,36.89,2.98,-0.0726,20.8755,-8.79,19.53,27.36,40.48,NEUTRAL,0,1.75,0.0,LOW
HEX.OL,2025-11-28,6.94,37.6,2.63,0.1671,9.1324,-24.01,48.98,55.01,55.15,NEUTRAL,0,5.0,0.0,HIGH
BGBIO.OL,2025-11-28,0.628,38.03,-1.49,0.0172,0.9813,-36.0,35.38,42.12,51.52,NEUTRAL,0,5.0,0.0,HIGH
WSTEP.OL,2025-11-28,18.0,38.21,-2.09,0.1056,19.964,-9.84,37.13,18.33,42.11,NEUTRAL,0,5.0,0.0,HIGH
TEL.OL,2025-11-28,146.1,38.97,-2.32,0.7087,155.1978,-5.86,29.44,35.85,48.28,NEUTRAL,0,3.0,0.0,MODERATE
SOFF.OL,2025-11-28,41.85,40.09,-2.25,0.1979,46.262,-9.54,25.87,46.41,43.95,NEUTRAL,0,3.0,0.0,MODERATE
KOG.OL,2025-11-28,239.7,40.52,-2.95,1.7218,279.7524,-14.32,43.23,42.17,49.1,NEUTRAL,0,5.0,0.0,HIGH
HYPRO.OL,2025-11-28,2.545,40.87,4.95,-0.031,3.1435,-19.04,12.85,22.85,42.91,NEUTRAL,0,1.75,0.0,LOW
AUSS.OL,2025-11-28,88.2,42.04,2.32,0.2872,93.336,-5.5,45.04,56.02,61.88,NEUTRAL,0,5.0,0.0,HIGH
PLT.OL,2025-11-28,6.86,42.23,-21.07,-0.1531,6.4375,6.56,38.41,16.03,21.26,NEUTRAL,0,5.0,0.0,HIGH
NOD.OL,2025-11-28,134.2,42.24,-0.23,0.7271,150.12,-10.6,32.57,49.08,53.23,NEUTRAL,0,5.0,0.0,HIGH
