# oslo-screener report=report_2025-12-31T0650Z.csv data_fetch_started=2025-12-31T06:49:35Z data_fetch_completed=2025-12-31T06:50:10Z generated_at=2025-12-31T06:50:10Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
ENTRA.OL,2025-12-30,115.6,65.89,-1.29,0.6057,112.45,2.8,23.55,63.73,81.65,SELL,2.0,3.0,3.0,MODERATE,
ORK.OL,2025-12-30,112.5,66.95,-0.7,0.1483,106.84,5.3,35.85,71.83,69.22,SELL,2.0,5.0,3.0,HIGH,
KIT.OL,2025-12-30,72.7,70.34,-2.23,0.9346,66.95,8.59,28.85,86.93,82.17,SELL,2.0,3.0,3.0,MODERATE,
BWO.OL,2025-12-30,45.2,75.99,-4.83,0.7411,37.3276,21.09,32.14,90.67,81.18,SELL,2.0,5.0,3.0,HIGH,
IDEX.OL,2025-12-30,6.3,79.62,-12.03,0.2974,3.4594,82.11,49.87,86.82,78.59,SELL,2.0,5.0,3.0,HIGH,
HAVI.OL,2025-12-30,0.8,19.28,0.0,-0.0171,1.1208,-28.62,53.2,18.17,15.02,BUY-watch,1.0,5.0,1.5,HIGH,
EMGS.OL,2025-12-30,0.25,27.74,-0.45,0.0202,0.5041,-50.4,26.67,31.96,27.65,BUY-watch,2.0,3.0,3.0,MODERATE,
HSPG.OL,2025-12-30,152.5,29.47,-1.29,-1.5756,159.5136,-4.4,20.0,82.42,6.78,BUY-watch,1.0,1.75,1.5,LOW,
HYPRO.OL,2025-12-30,1.96,31.82,-3.15,0.0001,2.6906,-27.15,21.03,10.62,17.76,BUY-watch,2.0,3.0,3.0,MODERATE,
BRG.OL,2025-12-30,199.4,65.14,2.86,0.6203,190.02,4.94,9.4,31.04,75.87,SELL-watch,1.0,1.75,1.5,LOW,
DNO.OL,2025-12-30,15.9,65.43,4.18,0.0441,14.3606,10.72,17.74,73.13,76.61,SELL-watch,1.0,1.75,1.5,LOW,
EPR.OL,2025-12-30,95.8,65.95,1.27,0.3745,91.606,4.58,26.17,61.68,78.24,SELL-watch,1.0,3.0,1.5,MODERATE,
ROGS.OL,2025-12-30,144.0,66.11,3.09,0.4907,138.8088,3.74,16.45,93.31,80.05,SELL-watch,1.0,1.75,1.5,LOW,
BAKKA.OL,2025-12-30,516.5,66.12,1.48,2.1844,484.646,6.57,29.98,82.23,69.37,SELL-watch,1.0,3.0,1.5,MODERATE,
WWI.OL,2025-12-30,590.0,66.34,3.02,-1.4099,539.13,9.44,32.56,65.25,68.83,SELL-watch,2.0,5.0,3.0,HIGH,
SBO.OL,2025-12-30,36.7,66.69,6.24,0.0888,34.074,7.71,30.58,94.02,72.41,SELL-watch,1.0,5.0,1.5,HIGH,
PARB.OL,2025-12-30,91.1,66.73,1.81,0.493,86.584,5.22,23.3,48.12,80.37,SELL-watch,1.0,3.0,1.5,MODERATE,
ACR.OL,2025-12-30,7.78,67.35,1.67,0.027,7.2216,7.73,34.35,76.75,84.62,SELL-watch,1.0,5.0,1.5,HIGH,
WWIB.OL,2025-12-30,547.0,67.79,1.57,0.3165,498.85,9.65,24.37,79.43,72.84,SELL-watch,1.0,3.0,1.5,MODERATE,
MOWI.OL,2025-12-30,243.2,68.28,0.5,0.3196,228.613,6.38,27.77,60.07,68.6,SELL-watch,1.0,3.0,1.5,MODERATE,
YAR.OL,2025-12-30,414.0,68.97,1.08,1.8447,379.462,9.1,35.92,82.28,70.87,SELL-watch,1.0,5.0,1.5,HIGH,
NHY.OL,2025-12-30,78.2,69.36,3.39,0.1321,72.3208,8.13,31.36,70.05,72.13,SELL-watch,1.0,5.0,1.5,HIGH,
