# oslo-screener report=report_2026-02-18T0715Z.csv data_fetch_started=2026-02-18T07:15:25Z data_fetch_completed=2026-02-18T07:15:45Z generated_at=2026-02-18T07:15:45Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
PHO.OL,2026-02-17,62.0,25.41,1.27,-0.8108,69.498,-10.79,43.61,11.86,13.0,BUY,2,5.0,3.0,HIGH
KID.OL,2026-02-17,118.4,32.87,3.04,-0.4122,128.388,-7.78,39.27,34.57,30.05,BUY,2,5.0,3.0,HIGH
MULTI.OL,2026-02-17,156.0,32.93,8.59,-1.9135,170.05,-8.26,26.95,14.73,32.28,BUY,2,3.0,3.0,MODERATE
PEN.OL,2026-02-17,22.5,65.09,-2.09,0.0307,20.6636,8.89,31.75,70.7,60.71,SELL,2,5.0,3.0,HIGH
VEI.OL,2026-02-17,188.2,66.08,-3.41,0.8524,177.596,5.97,26.26,85.43,71.56,SELL,2,3.0,3.0,MODERATE
MELG.OL,2026-02-17,203.95,66.34,-0.13,1.1814,195.5504,4.3,15.02,65.67,73.66,SELL,2,1.75,3.0,LOW
AKSO.OL,2026-02-17,37.7,67.85,-2.69,0.0908,33.0648,14.02,46.53,63.2,65.51,SELL,2,5.0,3.0,HIGH
HAUTO.OL,2026-02-17,114.2,69.26,-3.84,0.4853,101.431,12.59,35.18,74.0,70.56,SELL,2,5.0,3.0,HIGH
FRO.OL,2026-02-17,292.3,71.55,-2.82,1.1201,251.3165,16.31,32.02,78.7,78.12,SELL,2,5.0,3.0,HIGH
B2I.OL,2026-02-17,23.1,73.75,-4.46,0.1799,19.3696,19.26,56.39,83.08,78.98,SELL,2,5.0,3.0,HIGH
BWO.OL,2026-02-17,50.8,76.1,-2.16,0.2076,44.575,13.97,36.45,96.45,83.76,SELL,2,5.0,3.0,HIGH
TEL.OL,2026-02-17,176.3,76.37,-2.36,1.0357,152.716,15.44,48.52,81.39,77.72,SELL,2,5.0,3.0,HIGH
GENT.OL,2026-02-17,39.6,19.88,-0.17,-2.2466,55.732,-28.95,27.65,20.6,15.43,BUY-watch,1,3.0,1.5,MODERATE
ZAL.OL,2026-02-17,76.4,22.19,-2.28,-1.0144,86.724,-11.9,25.26,27.01,9.88,BUY-watch,1,3.0,1.5,MODERATE
MEDI.OL,2026-02-17,188.0,24.0,-1.43,-3.1237,239.66,-21.56,29.39,4.57,13.88,BUY-watch,1,3.0,1.5,MODERATE
ODF.OL,2026-02-17,113.0,29.18,-3.19,-1.8792,125.2274,-9.76,21.53,34.66,13.12,BUY-watch,1,3.0,1.5,MODERATE
NORCO.OL,2026-02-17,40.3,30.03,-1.62,-0.522,44.115,-8.65,20.17,28.73,16.78,BUY-watch,1,3.0,1.5,MODERATE
ATEA.OL,2026-02-17,141.0,30.57,-1.61,-1.0491,154.648,-8.83,22.82,47.62,26.18,BUY-watch,1,3.0,1.5,MODERATE
ODFB.OL,2026-02-17,110.4,31.56,-2.6,-1.4327,119.9975,-8.0,22.83,28.98,15.8,BUY-watch,1,3.0,1.5,MODERATE
SWON.OL,2026-02-17,85.11,31.98,-1.72,-0.72,103.9008,-18.09,36.84,26.0,26.09,BUY-watch,1,5.0,1.5,HIGH
