# oslo-screener report=report_2026-09-18T110923Z.csv schema=oslo_screener.health.v1 snapshot_id=6891aa4d18cf46119ecb819f325d5fdd data_fetch_started=2026-09-18T11:08:27Z data_fetch_completed=2026-09-18T11:09:23Z generated_at=2026-09-18T11:09:23Z expected_session=2026-09-17 universe_count=202 min_coverage_ratio=0.9 status=blocked market_data_as_of=2026-09-17
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
APR.OL,2026-09-17,2026-09-18,2026-09-17,current,,34.5,21.59,0.0,-0.2326,41.654,-17.17,39.34,5.97,19.49,WITHHELD,0.0,5.0,0.0,HIGH,6891aa4d18cf46119ecb819f325d5fdd
STECH.OL,2026-09-17,2026-09-18,2026-09-17,current,,84.6,40.76,-3.93,-0.0337,87.608,-3.43,33.76,41.12,41.06,WITHHELD,0.0,5.0,0.0,HIGH,6891aa4d18cf46119ecb819f325d5fdd
GENO.OL,2026-09-17,2026-09-18,2026-09-17,current,,19.08,48.61,8.39,-0.0297,20.1834,-5.47,16.55,28.68,61.66,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
BOHUS.OL,2026-09-17,2026-09-18,2026-09-17,current,,36.15,50.13,2.02,-0.01,36.4773,-0.9,14.83,12.7,56.59,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
CAVEN.OL,2026-09-17,2026-09-18,2026-09-17,current,,5.65,50.15,6.98,0.0217,5.7402,-1.57,14.45,70.23,56.01,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
SWON.OL,2026-09-17,2026-09-18,2026-09-17,current,,105.8,50.52,4.75,-0.4958,104.158,1.58,20.43,33.51,49.82,WITHHELD,0.0,3.0,0.0,MODERATE,6891aa4d18cf46119ecb819f325d5fdd
HGSB.OL,2026-09-17,2026-09-17,2026-09-17,current,,159.4,52.28,-3.48,0.1624,159.0292,0.23,32.05,86.41,55.6,WITHHELD,0.0,5.0,0.0,HIGH,6891aa4d18cf46119ecb819f325d5fdd
TRSB.OL,2026-09-17,2026-09-17,2026-09-17,current,,110.0,52.29,0.0,0.2005,110.6168,-0.56,13.13,74.66,59.72,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
DELIA.OL,2026-09-17,2026-09-18,2026-09-17,current,,23.0,52.39,4.58,0.2159,24.3375,-5.5,15.07,70.79,64.17,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
HERMA.OL,2026-09-17,2026-09-17,2026-09-17,current,,14.95,54.58,0.0,0.0896,14.989,-0.26,64.34,49.19,61.85,WITHHELD,0.0,5.0,0.0,HIGH,6891aa4d18cf46119ecb819f325d5fdd
MORLD.OL,2026-09-17,2026-09-18,2026-09-17,current,,24.3,57.08,-1.33,-0.2245,22.2878,9.03,41.64,44.74,47.4,WITHHELD,0.0,5.0,0.0,HIGH,6891aa4d18cf46119ecb819f325d5fdd
COSH.OL,2026-09-17,2026-09-18,2026-09-17,current,,140.0,57.29,0.0,0.1018,135.7592,3.12,11.38,57.48,60.46,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
SOMA.OL,2026-09-17,2026-09-18,2026-09-17,current,,29.2,58.71,4.97,-0.0415,28.2144,3.49,24.04,57.99,66.3,WITHHELD,0.0,3.0,0.0,MODERATE,6891aa4d18cf46119ecb819f325d5fdd
PLSV.OL,2026-09-17,2026-09-18,2026-09-17,current,,49.2,59.72,2.15,-0.0321,46.8077,5.11,23.81,56.14,67.46,WITHHELD,0.0,3.0,0.0,MODERATE,6891aa4d18cf46119ecb819f325d5fdd
SNTIA.OL,2026-09-17,2026-09-18,2026-09-17,current,,86.2,62.43,4.21,-0.1637,80.976,6.45,20.57,46.35,65.3,WITHHELD,0.0,3.0,0.0,MODERATE,6891aa4d18cf46119ecb819f325d5fdd
KMAR.OL,2026-09-17,2026-09-18,2026-09-17,current,,60.54,70.6,6.42,0.2878,55.5196,9.04,17.81,64.19,85.62,WITHHELD,0.0,1.75,0.0,LOW,6891aa4d18cf46119ecb819f325d5fdd
CMBTO.OL,2026-09-17,2026-09-18,2026-09-17,current,,194.8,78.39,6.65,0.7717,163.396,19.22,43.32,72.48,87.64,WITHHELD,0.0,5.0,0.0,HIGH,6891aa4d18cf46119ecb819f325d5fdd
2020.OL,2026-09-16,2026-09-18,2026-09-16,stale,missing_expected_completed_session,,,,,,,,,,WITHHELD,0.0,,0.0,,6891aa4d18cf46119ecb819f325d5fdd
ABG.OL,2026-09-16,2026-09-18,2026-09-16,stale,missing_expected_completed_session,,,,,,,,,,WITHHELD,0.0,,0.0,,6891aa4d18cf46119ecb819f325d5fdd
