# oslo-screener report=report_2026-09-22T113151Z.csv schema=oslo_screener.health.v1 snapshot_id=21efcfc1541e41a9af6ce6dd1026a183 data_fetch_started=2026-09-22T11:31:20Z data_fetch_completed=2026-09-22T11:31:51Z generated_at=2026-09-22T11:31:51Z expected_session=2026-09-21 universe_count=202 min_coverage_ratio=0.9 status=current market_data_as_of=2026-09-21
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
TOM.OL,2026-09-21,2026-09-22,2026-09-21,current,,91.25,28.57,0.9,-1.1491,103.249,-11.62,41.58,29.9,24.55,BUY,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
ENVIP.OL,2026-09-21,2026-09-22,2026-09-21,current,,33.55,33.35,5.12,-0.4063,40.116,-16.37,31.18,26.67,34.77,BUY,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
SALME.OL,2026-09-21,2026-09-22,2026-09-21,current,,3.3,34.94,1.03,-0.0148,3.8315,-13.87,38.72,23.32,42.25,BUY,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
ODL.OL,2026-09-21,2026-09-22,2026-09-21,current,,102.8,65.18,-8.37,0.6103,91.602,12.22,44.4,59.85,58.67,SELL,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
VOW.OL,2026-09-21,2026-09-22,2026-09-21,current,,2.67,66.76,-2.11,0.0202,2.3442,13.9,39.93,67.09,72.72,SELL,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
BWLPG.OL,2026-09-21,2026-09-22,2026-09-21,current,,241.8,67.75,-2.96,1.3478,211.9458,14.09,29.73,41.05,70.5,SELL,2,3.0,3.0,MODERATE,21efcfc1541e41a9af6ce6dd1026a183
CMBTO.OL,2026-09-21,2026-09-22,2026-09-21,current,,190.0,69.01,-3.4,0.7243,165.036,15.13,45.46,67.99,67.25,SELL,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
WWIB.OL,2026-09-21,2026-09-22,2026-09-21,current,,816.0,71.82,-2.72,1.8624,735.6,10.93,47.18,75.83,75.9,SELL,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
CONTX.OL,2026-09-21,2026-09-22,2026-09-21,current,,4.96,74.54,-7.86,0.069,3.7618,31.85,29.94,82.76,76.13,SELL,2,3.0,3.0,MODERATE,21efcfc1541e41a9af6ce6dd1026a183
OET.OL,2026-09-21,2026-09-22,2026-09-21,current,,805.0,83.79,-2.15,14.4082,612.3093,31.47,46.56,36.23,90.09,SELL,2,5.0,3.0,HIGH,21efcfc1541e41a9af6ce6dd1026a183
