# oslo-screener report=report_2026-09-22T194529Z.csv schema=oslo_screener.health.v1 snapshot_id=2848682a165848f186a58dba0d04d017 data_fetch_started=2026-09-22T19:44:36Z data_fetch_completed=2026-09-22T19:45:29Z generated_at=2026-09-22T19:45:29Z expected_session=2026-09-22 universe_count=202 coverage_policy=per_stock min_coverage_ratio=0.0049504950495049506 status=degraded market_data_as_of=2026-09-22
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
GSF.OL,2026-09-22,2026-09-22,2026-09-22,current,,25.1,28.63,6.5,-0.2057,28.8432,-12.98,25.78,14.84,27.35,BUY,2.0,3.0,3.0,MODERATE,2848682a165848f186a58dba0d04d017
TOM.OL,2026-09-22,2026-09-22,2026-09-22,current,,91.7,30.25,1.68,-0.9082,103.147,-11.1,42.8,34.27,29.19,BUY,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
NAVA.OL,2026-09-22,2026-09-22,2026-09-22,current,,13.3,32.31,4.01,0.038,15.26,-12.84,17.09,24.9,35.57,BUY,3.0,1.75,3.0,LOW,2848682a165848f186a58dba0d04d017
PRS.OL,2026-09-22,2026-09-22,2026-09-22,current,,4.8,33.91,0.67,-0.0644,5.3741,-10.68,18.98,27.44,23.24,BUY,2.0,1.75,3.0,LOW,2848682a165848f186a58dba0d04d017
STECH.OL,2026-09-22,2026-09-22,2026-09-22,current,,82.6,34.78,4.05,-0.1978,87.244,-5.32,36.54,47.75,30.38,BUY,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
ODFB.OL,2026-09-22,2026-09-22,2026-09-22,current,,128.2,67.23,-6.62,0.978,111.9091,14.56,36.77,79.26,62.75,SELL,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
SNI.OL,2026-09-22,2026-09-22,2026-09-22,current,,359.0,67.44,-2.22,2.1867,327.38,9.66,16.34,34.49,68.12,SELL,2.0,1.75,3.0,LOW,2848682a165848f186a58dba0d04d017
HUNT.OL,2026-09-22,2026-09-22,2026-09-22,current,,18.5,70.67,-20.63,0.3585,11.4674,61.33,57.47,67.53,60.94,SELL,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
WWIB.OL,2026-09-22,2026-09-22,2026-09-22,current,,815.0,71.12,-0.7,1.3128,738.7,10.33,47.36,78.4,73.76,SELL,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
ODF.OL,2026-09-22,2026-09-22,2026-09-22,current,,131.6,71.33,-5.78,1.0809,114.1294,15.31,35.4,84.86,71.72,SELL,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
HPUR.OL,2026-09-22,2026-09-22,2026-09-22,current,,4.82,18.11,-0.06,-0.0836,8.113,-40.59,28.88,17.76,10.73,BUY-watch,1.0,3.0,1.5,MODERATE,2848682a165848f186a58dba0d04d017
CLOUD.OL,2026-09-22,2026-09-22,2026-09-22,current,,11.66,21.9,-1.02,-0.1871,13.0848,-10.89,27.57,29.56,11.07,BUY-watch,1.0,3.0,1.5,MODERATE,2848682a165848f186a58dba0d04d017
NOL.OL,2026-09-22,2026-09-22,2026-09-22,current,,7.24,22.15,-1.19,-0.0175,7.4536,-2.87,40.09,99.46,9.04,BUY-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
ENH.OL,2026-09-22,2026-09-22,2026-09-22,current,,6.45,24.85,-18.95,-0.0585,7.5923,-15.05,30.29,19.97,15.52,BUY-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
IDEX.OL,2026-09-22,2026-09-22,2026-09-22,current,,5.3,25.79,-2.58,-0.0495,7.4172,-28.54,43.42,7.04,13.9,BUY-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
PROT.OL,2026-09-22,2026-09-22,2026-09-22,current,,435.2,25.89,-2.59,-2.7063,478.35,-9.02,24.99,22.18,14.66,BUY-watch,1.0,3.0,1.5,MODERATE,2848682a165848f186a58dba0d04d017
APR.OL,2026-09-22,2026-09-22,2026-09-22,current,,34.3,26.87,-1.13,0.0494,41.04,-16.42,38.32,11.2,30.26,BUY-watch,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
ARCH.OL,2026-09-22,2026-09-22,2026-09-22,current,,21.75,30.41,-2.41,-0.2252,23.8717,-8.89,26.04,42.79,21.02,BUY-watch,1.0,3.0,1.5,MODERATE,2848682a165848f186a58dba0d04d017
SOGN.OL,2026-09-22,2026-09-22,2026-09-22,current,,305.0,30.73,-13.72,-1.5164,322.82,-5.52,24.97,21.64,23.29,BUY-watch,1.0,3.0,1.5,MODERATE,2848682a165848f186a58dba0d04d017
VISTN.OL,2026-09-22,2026-09-22,2026-09-22,current,,18.1,30.98,-5.13,-0.0423,19.611,-7.7,22.86,24.12,25.16,BUY-watch,1.0,3.0,1.5,MODERATE,2848682a165848f186a58dba0d04d017
ENVIP.OL,2026-09-22,2026-09-22,2026-09-22,current,,33.0,31.85,-1.5,-0.3047,39.998,-17.5,31.77,26.99,30.31,BUY-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
HGSB.OL,2026-09-22,2026-09-22,2026-09-22,current,,155.0,33.5,-19.35,-0.1677,159.1072,-2.58,36.85,88.16,17.21,BUY-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
NOD.OL,2026-09-22,2026-09-22,2026-09-22,current,,184.4,65.05,1.91,1.5237,166.302,10.88,12.96,82.91,75.68,SELL-watch,1.0,1.75,1.5,LOW,2848682a165848f186a58dba0d04d017
STRO.OL,2026-09-22,2026-09-22,2026-09-22,current,,10.1,65.25,11.15,0.0761,9.9242,1.77,32.54,66.58,87.14,SELL-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
ELMRA.OL,2026-09-22,2026-09-22,2026-09-22,current,,46.8,67.81,0.0,-0.0282,45.996,1.75,49.22,48.4,68.56,SELL-watch,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
VEI.OL,2026-09-22,2026-09-22,2026-09-22,current,,216.0,68.9,1.9,0.0443,198.832,8.63,30.02,67.75,75.06,SELL-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
VOW.OL,2026-09-22,2026-09-22,2026-09-22,current,,2.715,69.06,2.3,0.0222,2.3538,15.35,39.47,66.44,76.88,SELL-watch,1.0,5.0,1.5,HIGH,2848682a165848f186a58dba0d04d017
REACH.OL,2026-09-22,2026-09-22,2026-09-22,current,,6.69,69.43,2.39,-0.0065,5.7425,16.5,54.36,69.03,72.74,SELL-watch,2.0,5.0,3.0,HIGH,2848682a165848f186a58dba0d04d017
