# oslo-screener report=report_2026-09-24T195932Z.csv schema=oslo_screener.health.v1 snapshot_id=c2f4ee95bdef4f42ae55d384c10d74cd data_fetch_started=2026-09-24T19:58:58Z data_fetch_completed=2026-09-24T19:59:32Z generated_at=2026-09-24T19:59:32Z expected_session=2026-09-24 universe_count=202 coverage_policy=per_stock min_coverage_ratio=0.0049504950495049506 status=degraded market_data_as_of=2026-09-24
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
HPUR.OL,2026-09-24,2026-09-24,2026-09-24,current,,4.32,17.74,2.76,-0.0733,7.8676,-45.09,31.64,17.41,14.06,BUY,2.0,5.0,3.0,HIGH,c2f4ee95bdef4f42ae55d384c10d74cd
TOM.OL,2026-09-24,2026-09-24,2026-09-24,current,,91.05,29.43,0.41,-0.5445,102.845,-11.47,45.19,32.79,27.27,BUY,2.0,5.0,3.0,HIGH,c2f4ee95bdef4f42ae55d384c10d74cd
PROT.OL,2026-09-24,2026-09-24,2026-09-24,current,,432.0,30.19,8.3,-3.0075,476.026,-9.25,29.59,10.64,29.37,BUY,2.0,3.0,3.0,MODERATE,c2f4ee95bdef4f42ae55d384c10d74cd
ARCH.OL,2026-09-24,2026-09-24,2026-09-24,current,,21.7,30.57,0.83,-0.2297,23.8083,-8.86,27.49,45.03,22.21,BUY,2.0,3.0,3.0,MODERATE,c2f4ee95bdef4f42ae55d384c10d74cd
CLOUD.OL,2026-09-24,2026-09-24,2026-09-24,current,,11.7,23.37,0.0,-0.1636,13.0352,-10.24,30.31,20.46,14.5,BUY-watch,1.0,5.0,1.5,HIGH,c2f4ee95bdef4f42ae55d384c10d74cd
VEND.OL,2026-09-24,2026-09-24,2026-09-24,current,,208.6,24.04,-2.86,-3.1957,242.396,-13.94,19.18,19.15,12.02,BUY-watch,1.0,1.75,1.5,LOW,c2f4ee95bdef4f42ae55d384c10d74cd
ENH.OL,2026-09-24,2026-09-24,2026-09-24,current,,6.25,24.23,-3.48,-0.1172,7.5548,-17.27,35.11,19.4,16.47,BUY-watch,1.0,5.0,1.5,HIGH,c2f4ee95bdef4f42ae55d384c10d74cd
GJF.OL,2026-09-24,2026-09-24,2026-09-24,current,,259.4,25.15,-0.58,-2.1196,279.296,-7.12,21.8,24.57,12.04,BUY-watch,1.0,3.0,1.5,MODERATE,c2f4ee95bdef4f42ae55d384c10d74cd
APR.OL,2026-09-24,2026-09-24,2026-09-24,current,,33.7,25.17,-0.85,0.0968,40.684,-17.17,36.91,15.26,25.26,BUY-watch,2.0,5.0,3.0,HIGH,c2f4ee95bdef4f42ae55d384c10d74cd
NOM.OL,2026-09-24,2026-09-24,2026-09-24,current,,1.016,26.64,-0.6,-0.0039,3.1737,-67.99,27.31,62.76,18.01,BUY-watch,1.0,3.0,1.5,MODERATE,c2f4ee95bdef4f42ae55d384c10d74cd
