# oslo-screener report=sell.csv schema=oslo_screener.health.v1 snapshot_id=dc4879df320d4743a205920ac6039654 data_fetch_started=2026-09-21T12:41:55Z data_fetch_completed=2026-09-21T12:42:48Z generated_at=2026-09-21T12:42:48Z expected_session=2026-09-18 universe_count=202 min_coverage_ratio=0.9 status=current market_data_as_of=2026-09-18
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ONCIN.OL,2026-09-18,2026-09-21,2026-09-18,current,,127.5,65.7,-4.38,2.4661,92.454,37.91,36.51,76.1,59.11,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
VEI.OL,2026-09-18,2026-09-21,2026-09-18,current,,213.5,65.71,-1.22,-0.2885,197.73,7.98,29.31,53.17,68.39,SELL,3,3.0,5.0,MODERATE,dc4879df320d4743a205920ac6039654
REACH.OL,2026-09-18,2026-09-21,2026-09-18,current,,6.6,67.04,-3.15,-0.0077,5.6736,16.33,55.62,57.31,66.42,SELL,3,5.0,5.0,HIGH,dc4879df320d4743a205920ac6039654
MING.OL,2026-09-18,2026-09-21,2026-09-18,current,,216.75,67.3,-0.9,-0.2723,203.9996,6.25,24.16,60.62,69.6,SELL,3,3.0,3.0,MODERATE,dc4879df320d4743a205920ac6039654
SNI.OL,2026-09-18,2026-09-21,2026-09-18,current,,358.0,68.2,-7.95,2.5503,326.0,9.82,14.19,49.38,70.41,SELL,2,1.75,3.0,LOW,dc4879df320d4743a205920ac6039654
MPCC.OL,2026-09-18,2026-09-21,2026-09-18,current,,28.49,68.44,-0.59,0.077,25.7171,10.78,34.34,69.2,79.11,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
VOW.OL,2026-09-18,2026-09-21,2026-09-18,current,,2.69,68.88,-2.63,0.019,2.336,15.15,39.21,62.8,77.91,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
KMAR.OL,2026-09-18,2026-09-21,2026-09-18,current,,60.46,69.95,-0.65,0.3298,55.7056,8.53,19.52,67.94,83.66,SELL,2,1.75,3.0,LOW,dc4879df320d4743a205920ac6039654
WAWI.OL,2026-09-18,2026-09-21,2026-09-18,current,,180.8,69.95,-4.57,0.9898,156.3268,15.66,30.71,65.48,73.61,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
BWLPG.OL,2026-09-18,2026-09-21,2026-09-18,current,,244.0,70.71,-0.79,1.6685,210.8939,15.7,29.09,44.99,79.51,SELL,2,3.0,3.0,MODERATE,dc4879df320d4743a205920ac6039654
CMBTO.OL,2026-09-18,2026-09-21,2026-09-18,current,,191.8,72.41,-5.98,0.8765,164.256,16.77,45.1,67.49,74.5,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
ODFB.OL,2026-09-18,2026-09-21,2026-09-18,current,,130.4,73.47,-6.92,1.4171,111.0139,17.46,33.78,88.95,76.73,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
ODL.OL,2026-09-18,2026-09-21,2026-09-18,current,,105.2,73.55,-2.26,0.8916,91.1871,15.37,44.23,67.62,77.07,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
ODF.OL,2026-09-18,2026-09-21,2026-09-18,current,,132.8,76.4,-1.12,1.3632,113.239,17.27,32.27,91.73,86.29,SELL,2,5.0,3.0,HIGH,dc4879df320d4743a205920ac6039654
