# oslo-screener report=watch_buy.csv schema=oslo_screener.health.v1 snapshot_id=f0bf91597259431486a32ab8cad1430c data_fetch_started=2026-09-25T11:45:39Z data_fetch_completed=2026-09-25T11:46:17Z generated_at=2026-09-25T11:46:17Z expected_session=2026-09-24 universe_count=202 coverage_policy=per_stock min_coverage_ratio=0.0049504950495049506 status=current market_data_as_of=2026-09-24
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
CLOUD.OL,2026-09-24,2026-09-25,2026-09-24,current,,11.7,23.37,0.0,-0.1636,13.0352,-10.24,30.31,20.46,14.5,BUY-watch,1,5.0,1.5,HIGH,f0bf91597259431486a32ab8cad1430c
VEND.OL,2026-09-24,2026-09-25,2026-09-24,current,,208.6,24.04,-2.86,-3.1957,242.396,-13.94,19.18,19.15,12.02,BUY-watch,1,1.75,1.5,LOW,f0bf91597259431486a32ab8cad1430c
ENH.OL,2026-09-24,2026-09-25,2026-09-24,current,,6.25,24.23,-3.48,-0.1172,7.5548,-17.27,35.11,19.4,16.47,BUY-watch,1,5.0,1.5,HIGH,f0bf91597259431486a32ab8cad1430c
GJF.OL,2026-09-24,2026-09-25,2026-09-24,current,,259.4,25.15,-0.58,-2.1196,279.296,-7.12,21.8,24.57,12.04,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
APR.OL,2026-09-24,2026-09-25,2026-09-24,current,,33.7,25.17,-0.85,0.0968,40.684,-17.17,36.91,15.26,25.26,BUY-watch,2,5.0,3.0,HIGH,f0bf91597259431486a32ab8cad1430c
NOM.OL,2026-09-24,2026-09-25,2026-09-24,current,,1.016,26.64,-0.6,-0.0039,3.1737,-67.99,27.31,62.76,18.01,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
SBO.OL,2026-09-24,2026-09-25,2026-09-24,current,,30.6,29.01,-5.21,-0.1916,32.775,-6.64,17.83,45.92,13.82,BUY-watch,1,1.75,1.5,LOW,f0bf91597259431486a32ab8cad1430c
STECH.OL,2026-09-24,2026-09-25,2026-09-24,current,,81.4,30.76,-1.96,-0.2687,86.952,-6.39,39.5,38.8,22.71,BUY-watch,1,5.0,1.5,HIGH,f0bf91597259431486a32ab8cad1430c
IDEX.OL,2026-09-24,2026-09-25,2026-09-24,current,,5.52,32.16,-0.71,-0.0203,7.3184,-24.57,44.98,35.06,32.34,BUY-watch,1,5.0,1.5,HIGH,f0bf91597259431486a32ab8cad1430c
PRS.OL,2026-09-24,2026-09-25,2026-09-24,current,,4.73,32.23,-0.73,-0.0651,5.3825,-12.12,21.54,29.28,20.43,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
NHY.OL,2026-09-24,2026-09-25,2026-09-24,current,,82.96,33.21,-2.84,-0.7311,89.1024,-6.89,22.48,32.62,23.7,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
STB.OL,2026-09-24,2026-09-25,2026-09-24,current,,192.8,33.46,-3.24,-0.9944,202.018,-4.56,24.04,25.0,23.41,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
ENSU.OL,2026-09-24,2026-09-25,2026-09-24,current,,0.57,33.48,0.0,-0.0022,0.6447,-11.58,33.61,26.3,27.01,BUY-watch,1,5.0,1.5,HIGH,f0bf91597259431486a32ab8cad1430c
TRSB.OL,2026-09-24,2026-09-24,2026-09-24,current,,107.04,33.55,-18.45,-0.0976,110.3828,-3.03,14.01,27.61,10.95,BUY-watch,1,1.75,1.5,LOW,f0bf91597259431486a32ab8cad1430c
NAVA.OL,2026-09-24,2026-09-25,2026-09-24,current,,13.35,33.65,0.0,0.068,15.152,-11.89,15.63,32.27,40.04,BUY-watch,2,1.75,3.0,LOW,f0bf91597259431486a32ab8cad1430c
HYPRO.OL,2026-09-24,2026-09-25,2026-09-24,current,,0.49,33.99,-1.8,0.0059,0.5731,-14.51,18.2,44.61,27.69,BUY-watch,2,1.75,3.0,LOW,f0bf91597259431486a32ab8cad1430c
ARR.OL,2026-09-24,2026-09-25,2026-09-24,current,,5.32,34.05,-6.67,-0.0318,5.6972,-6.62,26.2,18.86,18.68,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
GSF.OL,2026-09-24,2026-09-25,2026-09-24,current,,25.48,34.4,-1.05,-0.0673,28.6808,-11.16,26.32,24.09,40.24,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
EPR.OL,2026-09-24,2026-09-25,2026-09-24,current,,82.1,34.56,-0.34,-0.3727,85.654,-4.15,30.27,18.15,29.23,BUY-watch,1,5.0,1.5,HIGH,f0bf91597259431486a32ab8cad1430c
OTOVO.OL,2026-09-24,2026-09-25,2026-09-24,current,,10.2,34.64,-3.33,-0.0827,11.313,-9.84,14.34,14.31,21.99,BUY-watch,1,1.75,1.5,LOW,f0bf91597259431486a32ab8cad1430c
VISTN.OL,2026-09-24,2026-09-25,2026-09-24,current,,18.25,34.72,-0.0,-0.0435,19.531,-6.56,24.32,23.27,33.2,BUY-watch,1,3.0,1.5,MODERATE,f0bf91597259431486a32ab8cad1430c
